Topic,QuestionCategory,LocationDesc,Education,Income,Gender,% Adults W. Obesity,% Adults Exercise Weekly,% Adults Do not exercise,% Adults Eat Vegetable or Fruit Daily
Obesity / Weight Status,Income,New Hampshire,,"Less than $15,000",,34.76666667,,,
Obesity / Weight Status,Race/Ethnicity,New Hampshire,,,,22.22173913,,,
Obesity / Weight Status,Total,New Hampshire,,,,26.75,,,
Obesity / Weight Status,Education,New Jersey,College graduate,,,19.35,,,
Obesity / Weight Status,Education,New Jersey,High school graduate,,,29.01666667,,,
Obesity / Weight Status,Education,New Jersey,Less than high school,,,33.75,,,
Obesity / Weight Status,Education,New Jersey,Some college or technical school,,,26.53333333,,,
Obesity / Weight Status,Age (years),New Jersey,,,,24.975,,,
Obesity / Weight Status,Gender,New Jersey,,,Female,24.03333333,,,
Obesity / Weight Status,Gender,New Jersey,,,Male,27.45,,,
Obesity / Weight Status,Income,New Jersey,,"$15,000 - $24,999",,29.6,,,
Obesity / Weight Status,Income,New Jersey,,"$25,000 - $34,999",,29.91666667,,,
Obesity / Weight Status,Income,New Jersey,,"$35,000 - $49,999",,28.68333333,,,
Obesity / Weight Status,Income,New Jersey,,"$50,000 - $74,999",,26.91666667,,,
Obesity / Weight Status,Income,New Jersey,,"$75,000 or greater",,23.18333333,,,
Obesity / Weight Status,Income,New Jersey,,"Less than $15,000",,31.85,,,
Obesity / Weight Status,Race/Ethnicity,New Jersey,,,,25.61538462,,,
Obesity / Weight Status,Total,New Jersey,,,,25.75,,,
Obesity / Weight Status,Education,New Mexico,College graduate,,,20.4,,,
Obesity / Weight Status,Education,New Mexico,High school graduate,,,28.13333333,,,
Obesity / Weight Status,Education,New Mexico,Less than high school,,,33.58333333,,,
Obesity / Weight Status,Education,New Mexico,Some college or technical school,,,29.05,,,
Obesity / Weight Status,Age (years),New Mexico,,,,27.44444444,,,
Obesity / Weight Status,Gender,New Mexico,,,Female,27.73333333,,,
Obesity / Weight Status,Gender,New Mexico,,,Male,27.4,,,
Obesity / Weight Status,Income,New Mexico,,"$15,000 - $24,999",,29.8,,,
Obesity / Weight Status,Income,New Mexico,,"$25,000 - $34,999",,28.61666667,,,
Obesity / Weight Status,Income,New Mexico,,"$35,000 - $49,999",,28.26666667,,,
Obesity / Weight Status,Income,New Mexico,,"$50,000 - $74,999",,28.48333333,,,
Obesity / Weight Status,Income,New Mexico,,"$75,000 or greater",,23.28333333,,,
Obesity / Weight Status,Income,New Mexico,,"Less than $15,000",,31.46666667,,,
Obesity / Weight Status,Race/Ethnicity,New Mexico,,,,26.95526316,,,
Obesity / Weight Status,Total,New Mexico,,,,27.55,,,
Obesity / Weight Status,Education,New York,College graduate,,,17.93333333,,,
Obesity / Weight Status,Education,New York,High school graduate,,,27.8,,,
Obesity / Weight Status,Education,New York,Less than high school,,,32.55,,,
Obesity / Weight Status,Education,New York,Some college or technical school,,,26.95,,,
Obesity / Weight Status,Age (years),New York,,,,24.61388889,,,
Obesity / Weight Status,Gender,New York,,,Female,24.73333333,,,
Obesity / Weight Status,Gender,New York,,,Male,25.63333333,,,
Obesity / Weight Status,Income,New York,,"$15,000 - $24,999",,28.86666667,,,
Obesity / Weight Status,Income,New York,,"$25,000 - $34,999",,26.38333333,,,
Obesity / Weight Status,Income,New York,,"$35,000 - $49,999",,27.43333333,,,
Obesity / Weight Status,Income,New York,,"$50,000 - $74,999",,25.1,,,
Obesity / Weight Status,Income,New York,,"$75,000 or greater",,21.35,,,
Obesity / Weight Status,Income,New York,,"Less than $15,000",,31.58333333,,,
Obesity / Weight Status,Race/Ethnicity,New York,,,,25.14411765,,,
Obesity / Weight Status,Total,New York,,,,25.16666667,,,
Obesity / Weight Status,Education,North Carolina,College graduate,,,23.4,,,
Obesity / Weight Status,Education,North Carolina,High school graduate,,,32.28333333,,,
Obesity / Weight Status,Education,North Carolina,Less than high school,,,34.8,,,
Obesity / Weight Status,Education,North Carolina,Some college or technical school,,,30.81666667,,,
Obesity / Weight Status,Age (years),North Carolina,,,,29.51388889,,,
Obesity / Weight Status,Gender,North Carolina,,,Female,30.91666667,,,
Obesity / Weight Status,Gender,North Carolina,,,Male,28.98333333,,,
Obesity / Weight Status,Income,North Carolina,,"$15,000 - $24,999",,34.36666667,,,
Obesity / Weight Status,Income,North Carolina,,"$25,000 - $34,999",,33.78333333,,,
Obesity / Weight Status,Income,North Carolina,,"$35,000 - $49,999",,31.3,,,
Obesity / Weight Status,Income,North Carolina,,"$50,000 - $74,999",,29.66666667,,,
Obesity / Weight Status,Income,North Carolina,,"$75,000 or greater",,24.98333333,,,
Obesity / Weight Status,Income,North Carolina,,"Less than $15,000",,35.03333333,,,
Obesity / Weight Status,Race/Ethnicity,North Carolina,,,,28.43421053,,,
Obesity / Weight Status,Total,North Carolina,,,,29.95,,,
Obesity / Weight Status,Education,North Dakota,College graduate,,,26.7,,,
Obesity / Weight Status,Education,North Dakota,High school graduate,,,31.58333333,,,
Obesity / Weight Status,Education,North Dakota,Less than high school,,,31.31666667,,,
Obesity / Weight Status,Education,North Dakota,Some college or technical school,,,32.23333333,,,
Obesity / Weight Status,Age (years),North Dakota,,,,30.71388889,,,
Obesity / Weight Status,Gender,North Dakota,,,Female,28.05,,,
Obesity / Weight Status,Gender,North Dakota,,,Male,32.9,,,
Obesity / Weight Status,Income,North Dakota,,"$15,000 - $24,999",,33.05,,,
Obesity / Weight Status,Income,North Dakota,,"$25,000 - $34,999",,32.18333333,,,
Obesity / Weight Status,Income,North Dakota,,"$35,000 - $49,999",,32.4,,,
Obesity / Weight Status,Income,North Dakota,,"$50,000 - $74,999",,31.71666667,,,
Obesity / Weight Status,Income,North Dakota,,"$75,000 or greater",,29.65,,,
Obesity / Weight Status,Income,North Dakota,,"Less than $15,000",,33.03333333,,,
Obesity / Weight Status,Race/Ethnicity,North Dakota,,,,36.62631579,,,
Obesity / Weight Status,Total,North Dakota,,,,30.6,,,
Obesity / Weight Status,Education,Ohio,College graduate,,,24.15,,,
Obesity / Weight Status,Education,Ohio,High school graduate,,,32.55,,,
Obesity / Weight Status,Education,Ohio,Less than high school,,,34.5,,,
Obesity / Weight Status,Education,Ohio,Some college or technical school,,,31.96666667,,,
Obesity / Weight Status,Age (years),Ohio,,,,30.00555556,,,
Obesity / Weight Status,Gender,Ohio,,,Female,30.18333333,,,
Obesity / Weight Status,Gender,Ohio,,,Male,31.15,,,
Obesity / Weight Status,Income,Ohio,,"$15,000 - $24,999",,33.66666667,,,
Obesity / Weight Status,Income,Ohio,,"$25,000 - $34,999",,31.45,,,
Obesity / Weight Status,Income,Ohio,,"$35,000 - $49,999",,33.18333333,,,
Obesity / Weight Status,Income,Ohio,,"$50,000 - $74,999",,32.83333333,,,
Obesity / Weight Status,Income,Ohio,,"$75,000 or greater",,25.98333333,,,
Obesity / Weight Status,Income,Ohio,,"Less than $15,000",,35.5,,,
Obesity / Weight Status,Race/Ethnicity,Ohio,,,,30.59,,,
Obesity / Weight Status,Total,Ohio,,,,30.66666667,,,
Obesity / Weight Status,Education,Oklahoma,College graduate,,,26.96666667,,,
Obesity / Weight Status,Education,Oklahoma,High school graduate,,,33.73333333,,,
Obesity / Weight Status,Education,Oklahoma,Less than high school,,,35.01666667,,,
Obesity / Weight Status,Education,Oklahoma,Some college or technical school,,,34.05,,,
Obesity / Weight Status,Age (years),Oklahoma,,,,32.40277778,,,
Obesity / Weight Status,Gender,Oklahoma,,,Female,32.3,,,
Obesity / Weight Status,Gender,Oklahoma,,,Male,32.85,,,
Obesity / Weight Status,Income,Oklahoma,,"$15,000 - $24,999",,35.76666667,,,
Obesity / Weight Status,Income,Oklahoma,,"$25,000 - $34,999",,32.08333333,,,
Obesity / Weight Status,Income,Oklahoma,,"$35,000 - $49,999",,35.13333333,,,
Obesity / Weight Status,Income,Oklahoma,,"$50,000 - $74,999",,33.8,,,
Obesity / Weight Status,Income,Oklahoma,,"$75,000 or greater",,29.65,,,
Obesity / Weight Status,Income,Oklahoma,,"Less than $15,000",,35.73333333,,,
Obesity / Weight Status,Race/Ethnicity,Oklahoma,,,,31.90285714,,,
Obesity / Weight Status,Total,Oklahoma,,,,32.58333333,,,
Obesity / Weight Status,Education,Oregon,College graduate,,,19.4,,,
Obesity / Weight Status,Education,Oregon,High school graduate,,,29.96666667,,,
Obesity / Weight Status,Education,Oregon,Less than high school,,,33.35,,,
Obesity / Weight Status,Education,Oregon,Some college or technical school,,,31.13333333,,,
Obesity / Weight Status,Age (years),Oregon,,,,27.26666667,,,
Obesity / Weight Status,Gender,Oregon,,,Female,27.65,,,
Obesity / Weight Status,Gender,Oregon,,,Male,28.1,,,
Obesity / Weight Status,Income,Oregon,,"$15,000 - $24,999",,30.85,,,
Obesity / Weight Status,Income,Oregon,,"$25,000 - $34,999",,29.16666667,,,
Obesity / Weight Status,Income,Oregon,,"$35,000 - $49,999",,30.26666667,,,
Obesity / Weight Status,Income,Oregon,,"$50,000 - $74,999",,27.25,,,
Obesity / Weight Status,Income,Oregon,,"$75,000 or greater",,24.1,,,
Obesity / Weight Status,Income,Oregon,,"Less than $15,000",,33.96666667,,,
Obesity / Weight Status,Race/Ethnicity,Oregon,,,,25.72307692,,,
Obesity / Weight Status,Total,Oregon,,,,27.86666667,,,
Obesity / Weight Status,Education,Pennsylvania,College graduate,,,21.41666667,,,
Obesity / Weight Status,Education,Pennsylvania,High school graduate,,,33.36666667,,,
Obesity / Weight Status,Education,Pennsylvania,Less than high school,,,33.33333333,,,
Obesity / Weight Status,Education,Pennsylvania,Some college or technical school,,,30.95,,,
Obesity / Weight Status,Age (years),Pennsylvania,,,,29.04722222,,,
Obesity / Weight Status,Gender,Pennsylvania,,,Female,29.16666667,,,
Obesity / Weight Status,Gender,Pennsylvania,,,Male,30.18333333,,,
Obesity / Weight Status,Income,Pennsylvania,,"$15,000 - $24,999",,33.76666667,,,
Obesity / Weight Status,Income,Pennsylvania,,"$25,000 - $34,999",,33.16666667,,,
Obesity / Weight Status,Income,Pennsylvania,,"$35,000 - $49,999",,31.68333333,,,
Obesity / Weight Status,Income,Pennsylvania,,"$50,000 - $74,999",,31.8,,,
Obesity / Weight Status,Income,Pennsylvania,,"$75,000 or greater",,24.66666667,,,
Obesity / Weight Status,Income,Pennsylvania,,"Less than $15,000",,36.23333333,,,
Obesity / Weight Status,Race/Ethnicity,Pennsylvania,,,,28.12580645,,,
Obesity / Weight Status,Total,Pennsylvania,,,,29.7,,,
Obesity / Weight Status,Education,Puerto Rico,College graduate,,,26.625,,,
Obesity / Weight Status,Education,Puerto Rico,High school graduate,,,29.775,,,
Obesity / Weight Status,Education,Puerto Rico,Less than high school,,,31.175,,,
Obesity / Weight Status,Education,Puerto Rico,Some college or technical school,,,28.675,,,
Obesity / Weight Status,Age (years),Puerto Rico,,,,28.88333333,,,
Obesity / Weight Status,Gender,Puerto Rico,,,Female,30.3,,,
Obesity / Weight Status,Gender,Puerto Rico,,,Male,27.825,,,
Obesity / Weight Status,Income,Puerto Rico,,"$15,000 - $24,999",,30.825,,,
Obesity / Weight Status,Income,Puerto Rico,,"$25,000 - $34,999",,25,,,
Obesity / Weight Status,Income,Puerto Rico,,"$35,000 - $49,999",,29.275,,,
Obesity / Weight Status,Income,Puerto Rico,,"$50,000 - $74,999",,29.725,,,
Obesity / Weight Status,Income,Puerto Rico,,"$75,000 or greater",,24.075,,,
Obesity / Weight Status,Income,Puerto Rico,,"Less than $15,000",,30.525,,,
Obesity / Weight Status,Race/Ethnicity,Puerto Rico,,,,29.05,,,
Obesity / Weight Status,Total,Puerto Rico,,,,29.1,,,
Obesity / Weight Status,Education,Rhode Island,College graduate,,,20.2,,,
Obesity / Weight Status,Education,Rhode Island,High school graduate,,,29.41666667,,,
Obesity / Weight Status,Education,Rhode Island,Less than high school,,,31.61666667,,,
Obesity / Weight Status,Education,Rhode Island,Some college or technical school,,,26.83333333,,,
Obesity / Weight Status,Age (years),Rhode Island,,,,26,,,
Obesity / Weight Status,Gender,Rhode Island,,,Female,24.73333333,,,
Obesity / Weight Status,Gender,Rhode Island,,,Male,28,,,
Obesity / Weight Status,Income,Rhode Island,,"$15,000 - $24,999",,29.91666667,,,
Obesity / Weight Status,Income,Rhode Island,,"$25,000 - $34,999",,30.45,,,
Obesity / Weight Status,Income,Rhode Island,,"$35,000 - $49,999",,27.75,,,
Obesity / Weight Status,Income,Rhode Island,,"$50,000 - $74,999",,28.13333333,,,
Obesity / Weight Status,Income,Rhode Island,,"$75,000 or greater",,22.68333333,,,
Obesity / Weight Status,Income,Rhode Island,,"Less than $15,000",,32.45,,,
Obesity / Weight Status,Race/Ethnicity,Rhode Island,,,,24.746875,,,
Obesity / Weight Status,Total,Rhode Island,,,,26.33333333,,,
Obesity / Weight Status,Education,South Carolina,College graduate,,,25.31666667,,,
Obesity / Weight Status,Education,South Carolina,High school graduate,,,33.61666667,,,
Obesity / Weight Status,Education,South Carolina,Less than high school,,,34.91666667,,,
Obesity / Weight Status,Education,South Carolina,Some college or technical school,,,32.9,,,
Obesity / Weight Status,Age (years),South Carolina,,,,31.31388889,,,
Obesity / Weight Status,Gender,South Carolina,,,Female,33.06666667,,,
Obesity / Weight Status,Gender,South Carolina,,,Male,30.3,,,
Obesity / Weight Status,Income,South Carolina,,"$15,000 - $24,999",,35.46666667,,,
Obesity / Weight Status,Income,South Carolina,,"$25,000 - $34,999",,33.9,,,
Obesity / Weight Status,Income,South Carolina,,"$35,000 - $49,999",,32.53333333,,,
Obesity / Weight Status,Income,South Carolina,,"$50,000 - $74,999",,31.46666667,,,
Obesity / Weight Status,Income,South Carolina,,"$75,000 or greater",,26.88333333,,,
Obesity / Weight Status,Income,South Carolina,,"Less than $15,000",,38.38333333,,,
Obesity / Weight Status,Race/Ethnicity,South Carolina,,,,29.83076923,,,
Obesity / Weight Status,Total,South Carolina,,,,31.7,,,
Obesity / Weight Status,Education,South Dakota,College graduate,,,26.83333333,,,
Obesity / Weight Status,Education,South Dakota,High school graduate,,,29.85,,,
Obesity / Weight Status,Education,South Dakota,Less than high school,,,30.25,,,
Obesity / Weight Status,Education,South Dakota,Some college or technical school,,,30.26666667,,,
Obesity / Weight Status,Age (years),South Dakota,,,,29.03888889,,,
Obesity / Weight Status,Gender,South Dakota,,,Female,27.45,,,
Obesity / Weight Status,Gender,South Dakota,,,Male,31.1,,,
Obesity / Weight Status,Income,South Dakota,,"$15,000 - $24,999",,31.43333333,,,
Obesity / Weight Status,Income,South Dakota,,"$25,000 - $34,999",,30.91666667,,,
Obesity / Weight Status,Income,South Dakota,,"$35,000 - $49,999",,29.71666667,,,
Obesity / Weight Status,Income,South Dakota,,"$50,000 - $74,999",,31.63333333,,,
Obesity / Weight Status,Income,South Dakota,,"$75,000 or greater",,28.33333333,,,
Obesity / Weight Status,Income,South Dakota,,"Less than $15,000",,32.16666667,,,
Obesity / Weight Status,Race/Ethnicity,South Dakota,,,,32.73333333,,,
Obesity / Weight Status,Total,South Dakota,,,,29.31666667,,,
Obesity / Weight Status,Education,Tennessee,College graduate,,,25.86666667,,,
Obesity / Weight Status,Education,Tennessee,High school graduate,,,34.05,,,
Obesity / Weight Status,Education,Tennessee,Less than high school,,,36.01666667,,,
Obesity / Weight Status,Education,Tennessee,Some college or technical school,,,33.05,,,
Obesity / Weight Status,Age (years),Tennessee,,,,31.76111111,,,
Obesity / Weight Status,Gender,Tennessee,,,Female,32.55,,,
Obesity / Weight Status,Gender,Tennessee,,,Male,32.08333333,,,
Obesity / Weight Status,Income,Tennessee,,"$15,000 - $24,999",,34.83333333,,,
Obesity / Weight Status,Income,Tennessee,,"$25,000 - $34,999",,34.53333333,,,
Obesity / Weight Status,Income,Tennessee,,"$35,000 - $49,999",,32.3,,,
Obesity / Weight Status,Income,Tennessee,,"$50,000 - $74,999",,33.55,,,
Obesity / Weight Status,Income,Tennessee,,"$75,000 or greater",,28.68333333,,,
Obesity / Weight Status,Income,Tennessee,,"Less than $15,000",,36.95,,,
Obesity / Weight Status,Race/Ethnicity,Tennessee,,,,34.83636364,,,
Obesity / Weight Status,Total,Tennessee,,,,32.3,,,
Obesity / Weight Status,Education,Texas,College graduate,,,23.71666667,,,
Obesity / Weight Status,Education,Texas,High school graduate,,,33.93333333,,,
Obesity / Weight Status,Education,Texas,Less than high school,,,37.41666667,,,
Obesity / Weight Status,Education,Texas,Some college or technical school,,,31.91666667,,,
Obesity / Weight Status,Age (years),Texas,,,,31.06111111,,,
Obesity / Weight Status,Gender,Texas,,,Female,31.75,,,
Obesity / Weight Status,Gender,Texas,,,Male,31.11666667,,,
Obesity / Weight Status,Income,Texas,,"$15,000 - $24,999",,34.41666667,,,
Obesity / Weight Status,Income,Texas,,"$25,000 - $34,999",,32.78333333,,,
Obesity / Weight Status,Income,Texas,,"$35,000 - $49,999",,32.48333333,,,
Obesity / Weight Status,Income,Texas,,"$50,000 - $74,999",,32.46666667,,,
Obesity / Weight Status,Income,Texas,,"$75,000 or greater",,26.7,,,
Obesity / Weight Status,Income,Texas,,"Less than $15,000",,39.75,,,
Obesity / Weight Status,Race/Ethnicity,Texas,,,,28.77428571,,,
Obesity / Weight Status,Total,Texas,,,,31.41666667,,,
Obesity / Weight Status,Education,Utah,College graduate,,,21.5,,,
Obesity / Weight Status,Education,Utah,High school graduate,,,25.45,,,
Obesity / Weight Status,Education,Utah,Less than high school,,,27.48333333,,,
Obesity / Weight Status,Education,Utah,Some college or technical school,,,25.8,,,
Obesity / Weight Status,Age (years),Utah,,,,25.11666667,,,
Obesity / Weight Status,Gender,Utah,,,Female,24.25,,,
Obesity / Weight Status,Gender,Utah,,,Male,25.2,,,
Obesity / Weight Status,Income,Utah,,"$15,000 - $24,999",,26.48333333,,,
Obesity / Weight Status,Income,Utah,,"$25,000 - $34,999",,27.43333333,,,
Obesity / Weight Status,Income,Utah,,"$35,000 - $49,999",,27.93333333,,,
Obesity / Weight Status,Income,Utah,,"$50,000 - $74,999",,26.26666667,,,
Obesity / Weight Status,Income,Utah,,"$75,000 or greater",,22.41666667,,,
Obesity / Weight Status,Income,Utah,,"Less than $15,000",,27.11666667,,,
Obesity / Weight Status,Race/Ethnicity,Utah,,,,25.2025641,,,
Obesity / Weight Status,Total,Utah,,,,24.73333333,,,
Obesity / Weight Status,Education,Vermont,College graduate,,,17.2,,,
Obesity / Weight Status,Education,Vermont,High school graduate,,,30.66666667,,,
Obesity / Weight Status,Education,Vermont,Less than high school,,,31.43333333,,,
Obesity / Weight Status,Education,Vermont,Some college or technical school,,,26.1,,,
Obesity / Weight Status,Age (years),Vermont,,,,24.66944444,,,
Obesity / Weight Status,Gender,Vermont,,,Female,24.4,,,
Obesity / Weight Status,Gender,Vermont,,,Male,25.88333333,,,
Obesity / Weight Status,Income,Vermont,,"$15,000 - $24,999",,30.75,,,
Obesity / Weight Status,Income,Vermont,,"$25,000 - $34,999",,27.76666667,,,
Obesity / Weight Status,Income,Vermont,,"$35,000 - $49,999",,26.68333333,,,
Obesity / Weight Status,Income,Vermont,,"$50,000 - $74,999",,25.9,,,
Obesity / Weight Status,Income,Vermont,,"$75,000 or greater",,20.31666667,,,
Obesity / Weight Status,Income,Vermont,,"Less than $15,000",,29.91666667,,,
Obesity / Weight Status,Race/Ethnicity,Vermont,,,,28.71818182,,,
Obesity / Weight Status,Total,Vermont,,,,25.13333333,,,
Obesity / Weight Status,Education,Virgin Islands,College graduate,,,32.5,,,
Obesity / Weight Status,Education,Virgin Islands,High school graduate,,,39,,,
Obesity / Weight Status,Education,Virgin Islands,Less than high school,,,23.6,,,
Obesity / Weight Status,Education,Virgin Islands,Some college or technical school,,,40,,,
Obesity / Weight Status,Age (years),Virgin Islands,,,,31.58333333,,,
Obesity / Weight Status,Gender,Virgin Islands,,,Female,41.9,,,
Obesity / Weight Status,Gender,Virgin Islands,,,Male,22.2,,,
Obesity / Weight Status,Income,Virgin Islands,,"$15,000 - $24,999",,34,,,
Obesity / Weight Status,Income,Virgin Islands,,"$25,000 - $34,999",,30.6,,,
Obesity / Weight Status,Income,Virgin Islands,,"$35,000 - $49,999",,36.3,,,
Obesity / Weight Status,Income,Virgin Islands,,"$50,000 - $74,999",,43.3,,,
Obesity / Weight Status,Income,Virgin Islands,,"$75,000 or greater",,32.6,,,
Obesity / Weight Status,Income,Virgin Islands,,"Less than $15,000",,25.2,,,
Obesity / Weight Status,Race/Ethnicity,Virgin Islands,,,,29.43333333,,,
Obesity / Weight Status,Total,Virgin Islands,,,,32.5,,,
Obesity / Weight Status,Education,Virginia,College graduate,,,21.75,,,
Obesity / Weight Status,Education,Virginia,High school graduate,,,31.85,,,
Obesity / Weight Status,Education,Virginia,Less than high school,,,34.86666667,,,
Obesity / Weight Status,Education,Virginia,Some college or technical school,,,29.86666667,,,
Obesity / Weight Status,Age (years),Virginia,,,,27.925,,,
Obesity / Weight Status,Gender,Virginia,,,Female,28.65,,,
Obesity / Weight Status,Gender,Virginia,,,Male,28.18333333,,,
Obesity / Weight Status,Income,Virginia,,"$15,000 - $24,999",,32.85,,,
Obesity / Weight Status,Income,Virginia,,"$25,000 - $34,999",,31.01666667,,,
Obesity / Weight Status,Income,Virginia,,"$35,000 - $49,999",,30.78333333,,,
Obesity / Weight Status,Income,Virginia,,"$50,000 - $74,999",,28.25,,,
Obesity / Weight Status,Income,Virginia,,"$75,000 or greater",,24.7,,,
Obesity / Weight Status,Income,Virginia,,"Less than $15,000",,37.13333333,,,
Obesity / Weight Status,Race/Ethnicity,Virginia,,,,27.89189189,,,
Obesity / Weight Status,Total,Virginia,,,,28.41666667,,,
Obesity / Weight Status,Education,Washington,College graduate,,,20.33333333,,,
Obesity / Weight Status,Education,Washington,High school graduate,,,30.1,,,
Obesity / Weight Status,Education,Washington,Less than high school,,,30.81666667,,,
Obesity / Weight Status,Education,Washington,Some college or technical school,,,29.66666667,,,
Obesity / Weight Status,Age (years),Washington,,,,26.56388889,,,
Obesity / Weight Status,Gender,Washington,,,Female,26.41666667,,,
Obesity / Weight Status,Gender,Washington,,,Male,27.78333333,,,
Obesity / Weight Status,Income,Washington,,"$15,000 - $24,999",,30.55,,,
Obesity / Weight Status,Income,Washington,,"$25,000 - $34,999",,28.28333333,,,
Obesity / Weight Status,Income,Washington,,"$35,000 - $49,999",,29.38333333,,,
Obesity / Weight Status,Income,Washington,,"$50,000 - $74,999",,28.46666667,,,
Obesity / Weight Status,Income,Washington,,"$75,000 or greater",,23.93333333,,,
Obesity / Weight Status,Income,Washington,,"Less than $15,000",,33.11666667,,,
Obesity / Weight Status,Race/Ethnicity,Washington,,,,28.18636364,,,
Obesity / Weight Status,Total,Washington,,,,27.13333333,,,
Obesity / Weight Status,Education,West Virginia,College graduate,,,30.58333333,,,
Obesity / Weight Status,Education,West Virginia,High school graduate,,,36.9,,,
Obesity / Weight Status,Education,West Virginia,Less than high school,,,34.75,,,
Obesity / Weight Status,Education,West Virginia,Some college or technical school,,,35.28333333,,,
Obesity / Weight Status,Age (years),West Virginia,,,,34.63888889,,,
Obesity / Weight Status,Gender,West Virginia,,,Female,34.9,,,
Obesity / Weight Status,Gender,West Virginia,,,Male,35.2,,,
Obesity / Weight Status,Income,West Virginia,,"$15,000 - $24,999",,37.68333333,,,
Obesity / Weight Status,Income,West Virginia,,"$25,000 - $34,999",,38.43333333,,,
Obesity / Weight Status,Income,West Virginia,,"$35,000 - $49,999",,34.61666667,,,
Obesity / Weight Status,Income,West Virginia,,"$50,000 - $74,999",,36.6,,,
Obesity / Weight Status,Income,West Virginia,,"$75,000 or greater",,32.93333333,,,
Obesity / Weight Status,Income,West Virginia,,"Less than $15,000",,36.38333333,,,
Obesity / Weight Status,Race/Ethnicity,West Virginia,,,,36.91904762,,,
Obesity / Weight Status,Total,West Virginia,,,,35.05,,,
Obesity / Weight Status,Education,Wisconsin,College graduate,,,23.35,,,
Obesity / Weight Status,Education,Wisconsin,High school graduate,,,32,,,
Obesity / Weight Status,Education,Wisconsin,Less than high school,,,34.25,,,
Obesity / Weight Status,Education,Wisconsin,Some college or technical school,,,31.41666667,,,
Obesity / Weight Status,Age (years),Wisconsin,,,,29.275,,,
Obesity / Weight Status,Gender,Wisconsin,,,Female,29.18333333,,,
Obesity / Weight Status,Gender,Wisconsin,,,Male,30.68333333,,,
Obesity / Weight Status,Income,Wisconsin,,"$15,000 - $24,999",,32.4,,,
Obesity / Weight Status,Income,Wisconsin,,"$25,000 - $34,999",,32.58333333,,,
Obesity / Weight Status,Income,Wisconsin,,"$35,000 - $49,999",,30.43333333,,,
Obesity / Weight Status,Income,Wisconsin,,"$50,000 - $74,999",,30.11666667,,,
Obesity / Weight Status,Income,Wisconsin,,"$75,000 or greater",,27.05,,,
Obesity / Weight Status,Income,Wisconsin,,"Less than $15,000",,34.08333333,,,
Obesity / Weight Status,Race/Ethnicity,Wisconsin,,,,35.16774194,,,
Obesity / Weight Status,Total,Wisconsin,,,,29.96666667,,,
Obesity / Weight Status,Education,Wyoming,College graduate,,,21.58333333,,,
Obesity / Weight Status,Education,Wyoming,High school graduate,,,27.16666667,,,
Obesity / Weight Status,Education,Wyoming,Less than high school,,,32.06666667,,,
Obesity / Weight Status,Education,Wyoming,Some college or technical school,,,29.63333333,,,
Obesity / Weight Status,Age (years),Wyoming,,,,26.98888889,,,
Obesity / Weight Status,Gender,Wyoming,,,Female,27.03333333,,,
Obesity / Weight Status,Gender,Wyoming,,,Male,27.48333333,,,
Obesity / Weight Status,Income,Wyoming,,"$15,000 - $24,999",,30.3,,,
Obesity / Weight Status,Income,Wyoming,,"$25,000 - $34,999",,26.18333333,,,
Obesity / Weight Status,Income,Wyoming,,"$35,000 - $49,999",,28.08333333,,,
Obesity / Weight Status,Income,Wyoming,,"$50,000 - $74,999",,28.7,,,
Obesity / Weight Status,Income,Wyoming,,"$75,000 or greater",,24.98333333,,,
Obesity / Weight Status,Income,Wyoming,,"Less than $15,000",,30.61666667,,,
Obesity / Weight Status,Race/Ethnicity,Wyoming,,,,29.56521739,,,
Obesity / Weight Status,Total,Wyoming,,,,27.26666667,,,
Physical Activity - Behavior,Education,Alabama,College graduate,,,,35.58333333,17.53333333,
Physical Activity - Behavior,Education,Alabama,High school graduate,,,,25.24166667,34.01666667,
Physical Activity - Behavior,Education,Alabama,Less than high school,,,,20.00833333,44.45,
Physical Activity - Behavior,Education,Alabama,Some college or technical school,,,,29.16666667,26.38333333,
Physical Activity - Behavior,Age (years),Alabama,,,,,28.19444444,29.39444444,
Physical Activity - Behavior,Gender,Alabama,,,Female,,24.48333333,33.11666667,
Physical Activity - Behavior,Gender,Alabama,,,Male,,31.25833333,26.66666667,
Physical Activity - Behavior,Income,Alabama,,"$15,000 - $24,999",,,23.80833333,36.63333333,
Physical Activity - Behavior,Income,Alabama,,"$25,000 - $34,999",,,27.63333333,31.91666667,
Physical Activity - Behavior,Income,Alabama,,"$35,000 - $49,999",,,28.90833333,26.31666667,
Physical Activity - Behavior,Income,Alabama,,"$50,000 - $74,999",,,30.625,24.31666667,
Physical Activity - Behavior,Income,Alabama,,"$75,000 or greater",,,33.55833333,18.21666667,
Physical Activity - Behavior,Income,Alabama,,"Less than $15,000",,,22.6,41.48333333,
Physical Activity - Behavior,Race/Ethnicity,Alabama,,,,,29.45398352,29.24516129,
Physical Activity - Behavior,Total,Alabama,,,,,27.71666667,30.03333333,
Physical Activity - Behavior,Education,Alaska,College graduate,,,,45.5,10.96666667,
Physical Activity - Behavior,Education,Alaska,High school graduate,,,,32.99166667,25.33333333,
Physical Activity - Behavior,Education,Alaska,Less than high school,,,,32.75833333,33.75,
Physical Activity - Behavior,Education,Alaska,Some college or technical school,,,,39.21666667,19.6,
Physical Activity - Behavior,Age (years),Alaska,,,,,38.43194444,20.75277778,
